"presidente","desigualdad","elitesgente","elitespoderosos","interespol","sindicato","ideologia","etnicidad","izqderpresidente","ideologiapresidente"
"FUJIMORI",3,1,3,4,0,6,"BLANCO",8,"DERECHA"
"VERONIKA",3,2,2,4,0,5,"MESTIZO",2,"IZQUIERDA"
"FUJIMORI",4,5,2,4,0,10,"MESTIZO",8,"DERECHA"
"FUJIMORI",2,5,1,4,0,5,"BLANCO",8,"DERECHA"
"CASTILLO",3,5,2,4,0,6,"BLANCO",1,"IZQUIERDA"
NA,3,5,2,3,0,3,NA,NA,NA
NA,3,3,4,3,0,3,"MESTIZO",NA,NA
"CASTILLO",2,2,1,3,0,5,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",2,2,2,3,0,5,"MESTIZO",8,"DERECHA"
"CASTILLO",5,2,2,2,0,5,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",2,2,3,2,0,6,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,2,2,4,0,6,"MESTIZO",8,"DERECHA"
"FUJIMORI",2,5,5,3,0,10,"MESTIZO",8,"DERECHA"
NA,2,2,1,2,0,8,"BLANCO",NA,NA
"FUJIMORI",2,3,1,4,0,7,"MESTIZO",8,"DERECHA"
"CASTILLO",2,2,2,2,0,5,"MESTIZO",1,"IZQUIERDA"
NA,1,1,2,4,0,5,"QUECHUA",NA,NA
"VERONIKA",2,NA,2,1,0,4,"MESTIZO",2,"IZQUIERDA"
"CASTILLO",5,5,5,4,0,2,"MESTIZO",1,"IZQUIERDA"
"DESOTO",2,1,3,2,0,1,"AYMARA",9,"DERECHA"
"CASTILLO",1,2,2,4,0,1,"AYMARA",1,"IZQUIERDA"
"LESCANO",2,2,1,2,0,5,"QUECHUA",5,"CENTRO"
"CASTILLO",3,1,2,2,0,4,"MESTIZO",1,"IZQUIERDA"
"LOPEZALIAGA",2,1,2,3,0,5,"OTRA",9,"DERECHA"
NA,3,1,2,4,0,5,"MESTIZO",NA,NA
"CASTILLO",3,4,4,3,0,4,NA,1,"IZQUIERDA"
NA,4,2,NA,2,0,5,"AYMARA",NA,NA
"FUJIMORI",2,2,4,4,0,8,"AMAZONICO",8,"DERECHA"
"CASTILLO",1,1,1,2,0,5,"QUECHUA",1,"IZQUIERDA"
"LESCANO",2,1,1,1,0,5,"MESTIZO",5,"CENTRO"
NA,2,1,1,2,0,5,"MESTIZO",NA,NA
NA,1,1,2,2,0,8,"MESTIZO",NA,NA
"FUJIMORI",2,2,2,4,0,10,"QUECHUA",8,"DERECHA"
"CASTILLO",1,4,3,3,0,10,"AYMARA",1,"IZQUIERDA"
NA,3,2,2,4,0,5,"QUECHUA",NA,NA
NA,2,2,2,4,0,6,"QUECHUA",NA,NA
NA,1,1,1,1,0,5,"MESTIZO",NA,NA
"CASTILLO",2,1,3,2,0,5,"QUECHUA",1,"IZQUIERDA"
NA,1,4,4,3,0,5,"MESTIZO",NA,NA
"CASTILLO",1,1,1,3,0,5,"MESTIZO",1,"IZQUIERDA"
NA,3,3,3,3,0,5,"AYMARA",NA,NA
"FUJIMORI",2,1,3,3,0,5,"MESTIZO",8,"DERECHA"
"FUJIMORI",2,1,1,3,0,7,"MESTIZO",8,"DERECHA"
"VERONIKA",2,2,4,4,0,NA,"NEGRO",2,"IZQUIERDA"
"CASTILLO",1,1,1,2,0,5,"MESTIZO",1,"IZQUIERDA"
NA,1,5,2,3,0,10,"MESTIZO",NA,NA
"SALAVERRY",1,1,2,4,0,6,"BLANCO",6,"CENTRO"
NA,2,2,3,3,0,5,"QUECHUA",NA,NA
"CASTILLO",3,4,2,3,0,3,"BLANCO",1,"IZQUIERDA"
"VERONIKA",1,3,1,3,0,5,"QUECHUA",2,"IZQUIERDA"
NA,1,2,1,3,0,10,"QUECHUA",NA,NA
"CASTILLO",4,2,2,1,1,NA,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",2,2,2,4,0,NA,NA,8,"DERECHA"
"CASTILLO",1,2,2,4,0,2,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",1,NA,4,4,0,10,"QUECHUA",8,"DERECHA"
"FUJIMORI",1,2,2,3,0,8,"QUECHUA",8,"DERECHA"
NA,1,1,2,4,0,5,"MESTIZO",NA,NA
"LOPEZALIAGA",5,1,1,1,0,6,"MESTIZO",9,"DERECHA"
"LOPEZALIAGA",2,1,1,3,0,5,"MESTIZO",9,"DERECHA"
NA,3,4,2,2,0,NA,"MESTIZO",NA,NA
"VERONIKA",3,2,1,2,0,5,"BLANCO",2,"IZQUIERDA"
"HUMALA",NA,4,2,3,0,1,"MESTIZO",2,"IZQUIERDA"
"URRESTI",4,3,2,3,0,8,"MESTIZO",6,"CENTRO"
"CASTILLO",1,1,2,3,0,5,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",2,2,4,1,0,10,"BLANCO",8,"DERECHA"
NA,2,2,5,4,0,1,"QUECHUA",NA,NA
NA,1,1,1,2,0,9,"MESTIZO",NA,NA
NA,1,1,1,3,0,NA,"ZAMBOMULATO",NA,NA
"FUJIMORI",1,4,2,3,0,1,"MESTIZO",8,"DERECHA"
NA,2,2,2,1,0,10,"MESTIZO",NA,NA
"LESCANO",2,2,1,1,0,6,"MESTIZO",5,"CENTRO"
"LESCANO",2,2,2,3,0,5,"MESTIZO",5,"CENTRO"
"FUJIMORI",1,2,2,4,0,5,"MESTIZO",8,"DERECHA"
"FORSYTH",1,2,2,3,0,1,NA,6,"CENTRO"
"CASTILLO",1,5,5,1,0,4,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",5,2,2,4,0,1,"QUECHUA",1,"IZQUIERDA"
NA,2,2,2,1,0,2,"AMAZONICO",NA,NA
"LOPEZALIAGA",5,2,2,2,0,10,"MESTIZO",9,"DERECHA"
"LOPEZALIAGA",5,5,2,3,0,8,"MESTIZO",9,"DERECHA"
NA,5,4,4,4,0,NA,"MESTIZO",NA,NA
NA,3,2,3,2,0,4,"MESTIZO",NA,NA
"VERONIKA",1,2,2,1,0,5,"MESTIZO",2,"IZQUIERDA"
"CASTILLO",2,3,2,3,1,1,"MESTIZO",1,"IZQUIERDA"
"FUJIMORI",1,2,1,4,0,9,"MESTIZO",8,"DERECHA"
"CASTILLO",2,5,2,3,0,10,"BLANCO",1,"IZQUIERDA"
"FUJIMORI",1,4,4,2,0,9,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,1,2,3,0,8,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,3,2,3,0,8,"MESTIZO",8,"DERECHA"
"FUJIMORI",5,1,1,1,0,5,"MESTIZO",8,"DERECHA"
"FUJIMORI",1,2,2,3,0,5,"MESTIZO",8,"DERECHA"
NA,1,2,2,4,0,4,"MESTIZO",NA,NA
"CASTILLO",2,2,2,2,0,4,"QUECHUA",1,"IZQUIERDA"
"FUJIMORI",2,4,2,3,0,5,"MESTIZO",8,"DERECHA"
NA,2,2,2,3,0,NA,NA,NA,NA
NA,4,2,2,2,0,5,"QUECHUA",NA,NA
"VERONIKA",NA,2,2,3,0,NA,"QUECHUA",2,"IZQUIERDA"
"CASTILLO",NA,2,1,1,0,1,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",1,1,2,3,0,7,"ZAMBOMULATO",1,"IZQUIERDA"
"CASTILLO",2,2,1,3,0,1,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",1,1,5,2,0,8,"QUECHUA",1,"IZQUIERDA"
NA,NA,2,1,4,0,NA,"QUECHUA",NA,NA
"CASTILLO",1,1,1,4,0,4,"QUECHUA",1,"IZQUIERDA"
"LOPEZALIAGA",2,2,2,1,0,NA,"QUECHUA",9,"DERECHA"
"CASTILLO",2,5,2,4,0,5,"QUECHUA",1,"IZQUIERDA"
"CASTILLO",NA,NA,5,1,0,1,"AYMARA",1,"IZQUIERDA"
"CASTILLO",3,4,2,3,0,5,"AYMARA",1,"IZQUIERDA"
"LESCANO",2,4,2,3,0,3,"AYMARA",5,"CENTRO"
"CASTILLO",4,2,2,3,0,5,"AYMARA",1,"IZQUIERDA"
"LESCANO",1,2,2,3,0,1,"AYMARA",5,"CENTRO"
"CASTILLO",4,4,NA,4,0,NA,"AYMARA",1,"IZQUIERDA"
NA,2,2,4,2,0,3,"AYMARA",NA,NA
